"","date","time","site","plant.species","n.flowers","Augochlorella","Ceratina","Halictus","Lasioglossum","Coleoptera","small Syrphid","Augochlora pura","Apis","Lepidoptera","Megachile","Melissodes","Bombus","wasp","total visits"
"1",2020-07-06,1899-12-31 10:19:00,"Taylor at Peach","Coreopsis",26,0,0,15,0,0,0,0,0,0,0,0,0,0,15
"2",2020-07-06,1899-12-31 16:54:00,"Broadway","Coreopsis",7,0,0,0,4,0,0,0,0,0,0,0,0,0,4
"3",2020-07-06,1899-12-31 10:38:00,"Dexter","Coreopsis",41,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"4",2020-07-06,1899-12-31 17:27:00,"Maryfield Rd","Coreopsis",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2020-07-08,1899-12-31 09:30:00,"Wagner at Baptist church","Coreopsis",34,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"6",2020-07-09,1899-12-31 16:53:00,"Traver","Coreopsis",11,0,8,0,0,0,0,0,0,0,2,0,0,0,10
"7",2020-07-11,1899-12-31 17:48:00,"Matthaei A5","Coreopsis",35,0,0,0,0,0,2,0,0,0,0,0,0,0,2
"8",2020-07-13,1899-12-31 16:59:00,"Fuller at VA","Coreopsis",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2020-07-14,1899-12-31 17:34:00,"Nixon at Green Things","Coreopsis",8,4,0,0,0,0,0,0,0,0,0,0,0,0,4
"10",2020-07-15,1899-12-31 16:21:00,"Earhart at Gross","Coreopsis",23,0,0,0,5,0,0,0,0,0,0,0,0,0,5
"11",2020-07-15,1899-12-31 16:55:00,"W. liberty","Coreopsis",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2020-07-15,1899-12-31 16:37:00,"Seventh St","Coreopsis",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2020-07-17,1899-12-31 16:55:00,"Washtenaw at church","Coreopsis",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2020-07-18,1899-12-31 17:19:00,"Leslie","Coreopsis",19,0,0,0,0,0,0,6,0,0,0,0,0,0,6
"15",2020-07-13,1899-12-31 14:20:00,"1213 Miller Ave","Coreopsis",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2020-07-13,1899-12-31 14:40:00,"1120 Olden rd","Coreopsis",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2020-07-13,1899-12-31 18:08:00,"Jackson Ave","Coreopsis",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2020-07-14,1899-12-31 16:55:00,"E Stadium","Coreopsis",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2020-07-28,1899-12-31 09:32:00,"Olson Park","Coreopsis",13,5,0,0,0,0,0,0,0,0,0,0,0,0,5
"20",2020-07-06,1899-12-31 10:19:00,"W Huron and Eighth st","Coreopsis",24,0,0,0,0,0,0,0,0,0,0,10,0,0,10
"21",2020-07-07,1899-12-31 10:12:00,"Dhu Varren at Food Gatherers","Monarda",64,0,6,0,0,0,0,0,0,0,0,0,1,0,7
"22",2020-07-09,1899-12-31 16:33:00,"Plymouth at water tower","Monarda",334,0,0,0,0,0,0,0,54,0,0,0,0,0,54
"23",2020-07-09,1899-12-31 16:53:00,"Traver","Monarda",120,0,17,0,0,0,0,0,0,2,0,0,0,0,19
"24",2020-07-11,1899-12-31 17:48:00,"Matthaei A5","Monarda",242,0,0,0,0,0,0,0,0,0,0,0,138,0,138
"25",2020-07-13,1899-12-31 16:59:00,"Fuller at VA","Monarda",306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2020-07-14,1899-12-31 17:34:00,"Nixon at Green Things","Monarda",452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2020-07-15,1899-12-31 16:21:00,"Earhart at Gross","Monarda",412,0,0,0,0,0,0,0,62,0,0,0,0,3,65
"28",2020-07-15,1899-12-31 14:24:00,"Maryfield dr","Monarda",147,0,0,0,0,0,0,0,0,0,0,0,8,0,8
"29",2020-07-15,1899-12-31 16:55:00,"W. liberty","Monarda",458,0,0,0,0,0,0,0,0,0,0,0,45,0,45
"30",2020-07-15,1899-12-31 16:37:00,"Seventh St","Monarda",380,0,0,0,0,0,0,0,10,0,0,0,0,0,10
"31",2020-07-17,1899-12-31 17:12:00,"Washtenaw at Tuomy","Monarda",445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2020-07-17,1899-12-31 16:55:00,"Washtenaw at church","Monarda",627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2020-07-17,1899-12-31 17:28:00,"Oswego St","Monarda",295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2020-07-18,1899-12-31 17:25:00,"Leslie","Monarda",406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2020-07-20,1899-12-31 16:35:00,"N Maple","Monarda",690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2020-07-20,1899-12-31 16:55:00,"Spring St","Monarda",812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2020-07-13,1899-12-31 14:20:00,"1213 Miller Ave","Monarda",332,0,0,0,0,0,0,0,0,0,0,0,7,0,7
"38",2020-07-13,1899-12-31 14:40:00,"1120 Olden rd","Monarda",374,0,0,3,0,0,0,0,0,0,0,0,0,0,3
"39",2020-07-13,1899-12-31 18:08:00,"Jackson Ave","Monarda",174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2020-07-14,1899-12-31 16:55:00,"E Stadium","Monarda",292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2020-07-14,1899-12-31 17:26:00,"Platt","Monarda",375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2020-07-21,1899-12-31 16:55:00,"Wurster Park","Monarda",665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2020-07-31,1899-12-31 16:52:00,"CFP","Coreopsis",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2020-08-08,1899-12-31 16:35:00,"1211 Wright St","Coreopsis",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",2020-08-10,1899-12-31 17:00:00,"E. Kingsley St","Coreopsis",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2020-08-06,1899-12-31 16:15:00,"Maryfield dr","Coreopsis",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
