"date","site","time.out","time.collected","position","updown","c.vert.pigment.added","c.vert.n.flowers","c.vert.n.high.pigment","c.vert.n.low.pigment","m.fist.n.flowers.pigment.added","m.fist.n.inflorescences.pigment.added","m.fist.n.flowers","m.fist.n.inflorescences","m.fist.n.pigment.high","m.fist.inflor.pigment.high","m.fist.n.pigment.low","m.fist.inflor.pigment.low","m.fist.inflor.pigment","notes"
44018,"Taylor at Peach",0.427083333333333,0.756944444444445,"across",NA,29,41,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Dixboro at Gardenview Dr",0.395833333333333,0.722222222222222,"across",NA,23,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Plymouth at Nixon",0.411111111111111,0.735416666666667,"across",NA,10,22,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Broadway at AA Reformed Church",0.372916666666667,0.708333333333333,"across",NA,15,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Maryfield dr",0.405555555555556,0.729861111111111,"across",NA,20,24,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"W. Huron St. and Eigth St.",0.41875,17.39,"across",NA,24,19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44019,"North Main at FFN",0.381944444444444,0.736111111111111,"across",NA,28,38,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44019,"Whitmore Lk at Stein",0.401388888888889,0.744444444444444,"across",NA,16,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44019,"Dhu Varren at Food Gatherers",0.423611111111111,0.754861111111111,"across",NA,37,19,0,8,95,9,74,14,10,3,22,6,6,NA
44020,"Wright at Kellogg",0.367361111111111,0.754166666666667,"across",NA,38,6,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rain; some dye washed away so could not distinguish 'high' and 'low' pollen"
44020,"Fuller Rd at Furstenburg Park",0.391666666666667,0.765277777777778,"across",NA,17,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rain"
44020,"Geddes at Gallup entrance",0.420138888888889,0.76875,"across",NA,19,12,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rain, but plant appeared sheltered"
44021,"Plymouth at water tower",0.361111111111111,0.695833333333333,"across",NA,34,30,0,0,66,16,187,23,0,0,0,0,0,NA
44021,"Traver Rd",0.388194444444444,0.709722222222222,"across",NA,21,5,0,4,23,4,132,15,0,0,0,0,0,NA
44025,"1213 Miller Ave",0.409722222222222,0.75,"across",NA,40,21,3,5,332,30,87,14,1,1,2,2,2,NA
44025,"Jackson Ave at Veteran's Park",0.4375,0.755555555555556,"across",NA,30,14,0,0,174,22,435,32,0,0,3,1,1,NA
44025,"1120 1120 Olden rd",0.388888888888889,0.739583333333333,"across",NA,26,21,0,0,374,36,362,33,1,1,11,5,5,NA
44025,"Glen Ave",0.409027777777778,0.725694444444445,"across",NA,14,14,0,0,444,45,97,9,0,0,0,0,0,NA
44025,"Fuller at VA",0.367361111111111,0.713888888888889,"across",NA,15,20,0,0,152,20,388,41,0,0,0,0,0,NA
44026,"Huron Pkwy at Traverwood",0.3625,0.722222222222222,"across",NA,15,18,0,0,319,32,92,9,0,0,0,0,0,NA
44026,"Nixon at Green Things",0.386111111111111,0.73125,"across",NA,15,22,0,0,209,23,410,41,0,0,3,2,2,NA
44026,"E. Stadium at St. Francis Church",0.38125,0.713888888888889,"across",NA,34,25,0,0,292,22,350,34,0,0,0,0,0,NA
44026,"Platt at Carleton",0.4375,0.736111111111111,"across",NA,NA,NA,NA,NA,375,28,192,9,0,0,0,0,0,NA
44027,"Earhart at Gross",0.359027777777778,0.686805555555556,"across",NA,14,22,0,3,316,32,398,41,0,0,0,0,0,NA
44027,"Huron Pkwy at E Huron R Dr",0.3875,0.695138888888889,"across",NA,14,10,0,0,402,39,110,13,0,0,0,0,0,NA
44027,"Maryfield dr",0.361111111111111,0.6875,"across",NA,NA,NA,NA,NA,147,14,442,37,239,30,7,6,30,NA
44027,"Seventh St. at Jefferson",0.377777777777778,0.701388888888889,"across",NA,31,19,0,0,380,28,260,32,0,0,12,3,3,NA
44027,"W. liberty at Zion Lutheran",0.399305555555556,0.715277777777778,"across",NA,21,14,4,1,458,29,266,19,1,1,6,4,4,NA
44029,"Parker Mill",0.369444444444444,0.695138888888889,"across",NA,14,5,0,2,321,34,331,36,0,0,6,4,4,NA
44029,"Matthaei path",0.389583333333333,0.625694444444444,"across",NA,18,20,2,11,320,32,166,11,5,2,18,6,6,NA
44029,"Washtenaw at Tuomy",0.399305555555556,0.722222222222222,"across",NA,NA,NA,NA,NA,445,26,179,15,0,0,30,9,9,NA
44029,"Washtenaw at church",0.38125,0.7125,"across",NA,26,16,0,0,627,25,242,14,0,0,16,8,8,NA
44029,"Oswego St",0.420138888888889,0.733333333333333,"across",NA,NA,NA,NA,NA,295,24,504,42,46,10,71,21,21,NA
44032,"N Maple",0.381944444444444,0.701388888888889,"across",NA,NA,NA,NA,NA,690,42,333,20,0,0,0,0,0,NA
44032,"Spring St",0.394444444444444,0.711805555555556,"across",NA,NA,NA,NA,NA,812,29,278,18,4,1,5,3,3,NA
44032,"Riverside Park",0.372222222222222,0.698611111111111,"across",NA,22,20,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44032,"Fuller Park",0.390277777777778,0.706944444444444,"across",NA,18,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44033,"Wurster Park",0.381944444444444,0.711805555555556,"across",NA,NA,NA,NA,NA,665,28,264,18,150,18,13,4,18,NA
44033,"Gallup Park",0.378472222222222,0.723611111111111,"across",NA,14,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44033,"Arb prarie",0.395833333333333,0.729861111111111,"across",NA,20,17,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44035,"Leslie Park north meadow",0.353472222222222,0.697916666666667,"across",NA,18,15,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44035,"Leslie trail W of Pontiac Tr",0.372916666666667,0.705555555555556,"across",NA,17,11,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44036,"Leslie SNC meadow",0.385416666666667,0.71875,"across",NA,21,9,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Taylor at Peach",0.427083333333333,0.756944444444445,"along","upstream",29,14,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Dixboro at Gardenview Dr",0.395833333333333,0.722222222222222,"along","upstream",23,19,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Plymouth at Nixon",0.411111111111111,0.735416666666667,"along","downstream",10,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Broadway at AA Reformed Church",0.372916666666667,0.708333333333333,"along","downstream",15,7,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Maryfield dr",0.405555555555556,0.729861111111111,"along","downstream",20,9,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"W. Huron St. and Eigth St.",0.41875,17.39,"along","upstream",24,19,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44019,"North Main at FFN",0.381944444444444,0.736111111111111,"along","upstream",28,29,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44019,"Whitmore Lk at Stein",0.401388888888889,0.744444444444444,"along","upstream",16,12,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44019,"Dhu Varren at Food Gatherers",0.423611111111111,0.754861111111111,"along","upstream",37,29,2,5,95,9,196,19,9,3,76,14,14,NA
44020,"Wright at Kellogg",0.367361111111111,0.754166666666667,"along","downstream",38,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rain; some dye washed away so could not distinguish 'high' and 'low' pollen"
44020,"Fuller Rd at Furstenburg Park",0.391666666666667,0.765277777777778,"along","upstream",17,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rain"
44020,"Geddes at Gallup entrance",0.420138888888889,0.76875,"along","upstream",19,10,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rain, but plant appeared sheltered"
44021,"Plymouth at water tower",0.361111111111111,0.695833333333333,"along","upstream",34,15,0,3,66,16,334,50,0,0,0,0,0,NA
44021,"Traver Rd",0.388194444444444,0.709722222222222,"along","upstream",21,11,4,7,23,4,120,19,0,0,47,9,9,NA
44025,"1213 Miller Ave",0.409722222222222,0.75,"along","upstream",40,19,3,1,332,30,39,6,18,3,0,0,3,NA
44025,"Jackson Ave at Veteran's Park",0.4375,0.755555555555556,"along","upstream",30,22,0,0,174,22,272,20,14,3,2,1,3,NA
44025,"1120 Olden rd",0.388888888888889,0.739583333333333,"along","upstream",26,35,0,0,374,36,120,12,5,2,6,3,3,NA
44025,"Glen Ave",0.409027777777778,0.725694444444445,"along","downstream",14,12,2,4,444,45,310,43,0,0,0,0,0,NA
44025,"Fuller at VA",0.367361111111111,0.713888888888889,"along","downstream",15,14,0,0,152,20,306,31,0,0,0,0,0,NA
44026,"Huron Pkwy at Traverwood",0.3625,0.722222222222222,"along","downstream",15,21,12,3,319,32,439,52,0,0,2,2,2,NA
44026,"Nixon at Green Things",0.386111111111111,0.73125,"along","upstream",15,8,1,0,209,23,452,51,0,0,3,2,2,NA
44026,"E. Stadium at St. Francis Church",0.38125,0.713888888888889,"along",NA,34,32,0,0,292,22,282,19,0,0,0,0,0,NA
44026,"Platt at Carleton",0.4375,0.736111111111111,"along",NA,NA,NA,NA,NA,375,28,240,17,0,0,0,0,0,NA
44027,"Earhart at Gross",0.359027777777778,0.686805555555556,"along","downstream",14,23,7,9,316,32,412,44,0,0,0,0,0,NA
44027,"Huron Pkwy at E Huron R Dr",0.3875,0.695138888888889,"along","downstream",14,10,0,1,402,39,196,20,0,0,3,2,2,NA
44027,"Maryfield dr",0.361111111111111,0.6875,"along","downstream",NA,NA,NA,NA,147,14,146,9,70,8,1,1,8,NA
44027,"Seventh St. at Jefferson",0.377777777777778,0.701388888888889,"along","upstream",31,25,13,7,380,28,183,15,4,3,8,6,6,NA
44027,"W. liberty at Zion Lutheran",0.399305555555556,0.715277777777778,"along","upstream",21,28,8,2,458,29,366,28,0,0,0,0,0,NA
44029,"Parker Mill",0.369444444444444,0.695138888888889,"along","upstream",14,8,1,4,321,34,249,27,0,0,2,2,2,NA
44029,"Matthaei path",0.389583333333333,0.625694444444444,"along","downstream",18,17,9,8,320,32,355,33,6,2,22,8,8,NA
44029,"Washtenaw at Tuomy",0.399305555555556,0.722222222222222,"along","upstream",NA,NA,NA,NA,445,26,360,24,178,11,11,3,11,NA
44029,"Washtenaw at church",0.38125,0.7125,"along","upstream",26,15,0,0,627,25,297,25,0,0,20,9,9,NA
44029,"Oswego St",0.420138888888889,0.733333333333333,"along","upstream",NA,NA,NA,NA,295,24,146,12,8,4,21,7,7,NA
44032,"N Maple",0.381944444444444,0.701388888888889,"along","upstream",NA,NA,NA,NA,690,42,330,22,5,2,17,9,9,NA
44032,"Spring St",0.394444444444444,0.711805555555556,"along","upstream",NA,NA,NA,NA,812,29,518,35,25,9,24,10,10,NA
44032,"Riverside Park",0.372222222222222,0.698611111111111,"along","downstream",22,20,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44032,"Fuller Park",0.390277777777778,0.706944444444444,"along","downstream",18,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44033,"Wurster Park",0.381944444444444,0.711805555555556,"along","downstream",NA,NA,NA,NA,665,28,385,15,160,13,20,5,13,NA
44033,"Gallup Park",0.378472222222222,0.723611111111111,"along","downstream",14,17,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44033,"Arb prarie",0.395833333333333,0.729861111111111,"along",NA,20,17,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44035,"Leslie Park north meadow",0.353472222222222,0.697916666666667,"along",NA,18,19,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44035,"Leslie trail W of Pontiac Tr",0.372916666666667,0.705555555555556,"along",NA,17,11,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44036,"Leslie SNC meadow",0.385416666666667,0.71875,"along",NA,21,11,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44043,"CFP",0.380555555555556,0.711805555555556,"along","upstream",7,7,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44043,"CFP",0.380555555555556,0.711805555555556,"across",NA,7,21,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44049,"Maryfield sidewalk",0.349305555555556,0.681944444444444,"along","upstream",7,9,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44049,"Maryfield sidewalk",0.349305555555556,0.681944444444444,"across",NA,7,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44051,"1211 Wright sidewalk",0.395833333333333,0.701388888888889,"along","upstream",8,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44051,"1211 Wright sidewalk",0.395833333333333,0.701388888888889,"across",NA,8,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44053,"E. Kingsley sidewalk",0.388888888888889,0.725694444444445,"along","upstream",8,6,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44053,"E. Kingsley sidewalk",0.388888888888889,0.725694444444445,"across",NA,8,7,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44043,"Taylor sidewalk",0.350694444444444,0.700694444444444,"along",NA,15,14,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44043,"Taylor sidewalk",0.350694444444444,0.700694444444444,"across",NA,15,9,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
